SECURITY_IDENTIFIER,EVENTS,TOTAL_ORDERS,MARKET_ORDERS,LIMIT_ORDERS
20141108,2,2,0,2
20141107,17,5,0,5
1122362,1870,838,0,838
20170902,1,1,0,1
20170904,2,1,0,1
20170906,2,1,0,1
20170905,2,1,0,1
20170907,2,2,0,2
57753604,11,4,0,4
57753601,14,6,0,6
57753602,8,5,0,5
57753607,11,4,0,4
57753608,170,68,0,68
57753605,41,15,0,15
57753606,5,2,0,2
4151045,24,8,0,8
7744156,29,6,0,6
7744157,29,6,0,6
7744155,29,6,0,6
1111001,2,1,0,1
1111004,1,1,0,1
1111006,17,5,1,4
1111007,1,1,0,1
1937560,7,2,0,2
5339006,2,2,1,1
5339007,5,2,0,2
5339004,2,2,1,1
5339005,1,1,0,1
5339009,19,10,1,9
5339002,6,3,0,3
5339001,12,4,0,4
1937553,9,3,0,3
1937551,9,5,0,5
5339018,19,7,0,7
5339015,20,4,0,4
5339016,4,2,0,2
5339013,28,5,0,5
5339014,46,10,0,10
5339012,22,5,0,5
8013000,6,0,0,0
8421001,547,164,0,164
8421002,528,152,0,152
8421003,344,112,0,112
9013003,7,2,0,2
9013004,2,1,0,1
9013001,169,48,0,48
3923021,6,3,0,3
3923022,6,3,0,3
80660004,42,16,0,16
8855026,11,5,1,4
3923012,21,7,0,7
3923013,26,9,0,9
3923010,17,5,1,4
3923011,26,9,0,9
3923016,9,6,0,6
1010004,1,1,0,1
1010003,1,1,0,1
3923014,21,7,0,7
1010002,1,1,0,1
3923015,21,7,0,7
8763067,2,2,0,2
80660019,21,8,0,8
3923009,17,5,1,4
3923008,1,1,0,1
8213011,1,1,0,1
3923001,22,7,1,6
80660020,16,6,0,6
80660021,27,10,0,10
8763030,6,2,0,2
80660022,16,6,0,6
8763031,182,68,4,64
8855001,1,1,0,1
8855002,78,26,14,12
8213008,1,1,0,1
8213003,2,2,0,2
8763045,16,16,2,14
80670001,1,1,0,1
80670002,1,1,0,1
5740012,8,4,0,4
80670003,2,2,0,2
80670004,2,2,0,2
80670005,12,4,2,2
8653603,12,4,0,4
8653602,6,2,0,2
8653604,6,2,0,2
8653607,12,4,0,4
8653606,6,2,0,2
5111102,68,38,0,38
5111101,691,303,0,303
8653608,6,2,0,2
5111104,44,24,0,24
5111103,56,29,0,29
5111106,44,24,0,24
5111105,56,29,0,29
5740001,11,7,0,7
5111108,36,16,0,16
5740002,6,2,0,2
5111107,36,16,0,16
5740003,8,4,0,4
5740004,6,4,0,4
5740005,4,2,0,2
8653610,1,1,0,1
8653611,2,1,0,1
5111111,18,8,0,8
5111110,18,10,0,10
5111113,87,35,0,35
5111112,64,25,0,25
5111115,9,6,0,6
5111114,23,12,0,12
5111117,10,9,0,9
5111116,583,237,0,237
5111119,10,9,0,9
5111118,10,9,0,9
4023002,34,30,12,18
4023006,40,36,14,22
5111122,5,4,0,4
5111121,11,8,0,8
5111124,102,46,0,46
5111126,56,24,0,24
20171105,2,2,0,2
5111125,56,24,0,24
5111128,56,24,0,24
5111127,102,46,0,46
20171106,4,2,1,1
5111129,56,24,0,24
8773012,108,48,8,40
8773013,103,76,30,46
5169119,5,3,0,3
8773010,167,91,23,68
5169118,29,11,0,11
5111131,10,9,0,9
8773011,160,71,8,63
5111133,10,9,0,9
5111132,6,5,0,5
5111134,11,8,0,8
5169112,6,2,0,2
5111137,22,11,0,11
5169111,28,10,0,10
5111136,17,10,0,10
8773018,126,126,54,72
5111139,27,12,0,12
5111138,22,11,0,11
8773016,10,7,3,4
5169115,1,1,0,1
8773017,70,70,30,40
8773014,14,10,4,6
5169113,6,2,0,2
8773015,14,10,4,6
1488120,13,4,0,4
1488121,13,4,1,3
5170111,1,1,0,1
8773023,18,18,8,10
5111140,211,108,0,108
8773021,53,28,8,20
5111142,175,96,0,96
8773022,18,18,8,10
5169128,2,2,0,2
5111141,85,42,0,42
5111144,43,20,0,20
5111143,51,24,0,24
5111145,19,8,0,8
1488117,4,3,0,3
1488118,13,4,1,3
1488119,14,4,1,3
1488113,1,1,0,1
1488114,3,3,0,3
1488115,13,4,1,3
1488116,13,4,0,4
2015031027,1,0,0,0
2015031024,3,3,1,2
2015031023,3,3,1,2
2015031022,6,6,3,3
2015031021,17,17,7,10
5740036,107,32,0,32
5740037,19,11,0,11
5740038,4,4,0,4
9911091,7,3,0,3
9911092,14,4,1,3
8773001,190,180,77,103
8773002,9,9,3,6
8773009,58,34,8,26
8773007,58,34,8,26
8773008,167,91,23,68
8773005,11,10,4,6
8773006,123,54,8,46
8773003,9,9,3,6
8773004,11,10,4,6
5000206,2,2,0,2
8763027,278,142,14,128
5000208,2,2,0,2
8763028,96,92,36,56
5000207,3,3,0,3
7744530,2,2,0,2
5000201,3,3,0,3
5000204,2,2,0,2
5000203,2,2,0,2
5000200,1,1,0,1
8773034,7,7,3,4
8773036,12,4,0,4
7744501,6,2,0,2
7744502,6,2,0,2
1010010,2,2,0,2
2015031019,9,3,0,3
1010016,1,1,0,1
2015031018,2,1,0,1
2015031017,10,3,0,3
2015031016,1,1,0,1
1010013,2,2,0,2
2015031013,48,14,0,14
7744503,9,3,0,3
4151507,12,4,0,4
5170119,100,32,0,32
4151506,27,9,3,6
5170118,1,1,0,1
4151509,36,12,0,12
4151508,89,27,9,18
1010023,2,2,0,2
1010021,3,1,1,0
2015031009,2,2,0,2
2015031008,3,3,0,3
1010027,2,2,0,2
2015031006,9,3,0,3
1010024,2,2,0,2
2015031003,44,18,0,18
2015031002,17,7,0,7
8763001,6,4,1,3
20180207,28,11,0,11
20180206,26,10,0,10
20180205,24,9,0,9
1877541,291,134,8,126
1073001,27,10,0,10
1877545,1,1,0,1
1073002,39,14,0,14
1877547,20,12,0,12
1877549,6,4,1,3
9911031,7,3,0,3
9911032,18,6,1,5
9088006,8,3,0,3
1073019,10,3,0,3
3355052,1,1,0,1
9088005,9,3,0,3
9088004,11,4,0,4
1073025,18,4,0,4
1073026,6,3,0,3
1073027,90,36,0,36
1073028,90,36,0,36
1073029,100,40,0,40
3355040,1,1,0,1
3355043,1,1,0,1
5000209,2,2,0,2
1073023,41,17,0,17
1073024,279,78,0,78
1122400,4,2,0,2
3355045,1,1,0,1
3355030,12,4,0,4
1073030,90,36,0,36
1073033,1,1,0,1
5000228,1,1,0,1
5000227,1,1,0,1
5000223,2,2,0,2
5000220,2,2,0,2
5000222,2,2,0,2
5000221,1,1,0,1
3355036,4,4,0,4
3355039,1,1,0,1
9120014,1,1,1,0
7744006,18,6,0,6
7744007,41,10,0,10
7744002,56,13,0,13
7744003,54,16,0,16
9120006,1,1,0,1
7744001,17,6,0,6
3355022,15,5,0,5
3355023,4,4,0,4
3355024,4,4,0,4
3355025,7,3,0,3
3355029,4,4,0,4
8963011,3,3,1,2
9911088,2,2,0,2
8963012,3,3,1,2
9911089,2,2,0,2
8963010,9,9,3,6
8963015,30,18,6,12
8963016,14,6,2,4
8963013,3,3,1,2
8963014,3,3,1,2
3355010,5,3,0,3
9120004,1,1,0,1
8963017,21,9,3,6
9120002,6,2,1,1
9120001,1,1,0,1
7744018,68,16,0,16
7744015,14,5,0,5
7744011,6,2,0,2
3355011,6,2,0,2
9911080,7,2,1,1
3355012,12,4,0,4
9911082,19,6,0,6
3355014,4,3,0,3
9911083,11,4,0,4
3355015,1,1,0,1
9911084,6,2,0,2
3355016,6,2,0,2
3355017,3,1,0,1
3355018,3,1,0,1
9911087,7,3,0,3
1300104,27,9,3,6
